ReleaseYear,NumApps
"September 8, 2016",2
"October 13, 2016",2
"August 7, 2016",2
"June 11, 2015",2
"December 14, 2016",2
"August 8, 2015",2
"February 24, 2017",2
"March 25, 2018",2
"August 25, 2015",2
"February 2, 2016",2
"December 4, 2016",2
"December 31, 2017",2
"July 30, 2015",2
"December 21, 2015",2
"August 21, 2014",2
"May 24, 2017",2
"August 23, 2016",2
"April 13, 2016",2
"August 22, 2015",2
"December 2, 2013",2
"April 30, 2014",2
"March 25, 2016",2
"September 7, 2015",2
"December 19, 2016",2
"December 18, 2015",2
"January 15, 2016",2
"June 19, 2015",2
"May 16, 2016",2
"December 6, 2016",2
"July 23, 2016",2
"August 12, 2014",2
"September 17, 2016",2
"February 16, 2016",2
"October 1, 2016",2
"June 30, 2017",2
"February 19, 2018",2
"September 11, 2015",2
"May 18, 2016",2
"October 4, 2013",2
"July 21, 2017",2
"January 10, 2017",2
"November 5, 2013",2
"May 10, 2015",2
"February 12, 2016",2
"June 24, 2015",2
"February 3, 2016",2
"February 14, 2015",2
"June 13, 2017",2
"December 18, 2014",2
"December 23, 2017",2
"June 20, 2016",2
"December 26, 2016",2
"January 13, 2018",2
"February 11, 2014",2
"March 10, 2017",2
"December 2, 2017",2
"March 31, 2016",2
"January 28, 2018",2
"March 17, 2017",2
"November 4, 2015",2
"August 24, 2017",2
"March 24, 2016",2
"January 26, 2015",2
"February 3, 2018",2
"August 8, 2017",2
"January 8, 2017",2
"December 31, 2015",2
"May 17, 2016",2
"August 15, 2013",2
"February 11, 2017",2
"July 31, 2017",2
"March 11, 2014",2
"August 10, 2017",2
"December 11, 2016",2
"April 12, 2016",2
"December 22, 2016",2
"August 14, 2017",2
"May 15, 2015",2
"January 13, 2017",2
"November 28, 2016",2
"November 20, 2014",2
"April 2, 2015",2
"May 26, 2016",2
"March 21, 2015",2
"August 8, 2013",2
"December 2, 2016",2
"March 6, 2015",2
"October 3, 2016",2
"February 10, 2015",2
"August 24, 2016",2
"April 2, 2016",2
"June 17, 2015",2
"December 17, 2016",2
"February 3, 2015",2
"September 11, 2017",2
"April 22, 2017",2
"December 15, 2014",2
"December 10, 2016",2
"October 22, 2016",2
"August 5, 2015",2
"September 13, 2017",2
"June 3, 2016",2
"July 26, 2017",2
"July 15, 2017",2
"February 17, 2016",2
"June 9, 2017",2
"July 4, 2014",2
"October 16, 2016",2
"May 26, 2015",2
"September 12, 2014",2
"August 13, 2015",2
"January 26, 2016",2
"October 28, 2013",2
"December 3, 2014",2
"January 20, 2016",2
"January 4, 2017",2
"April 21, 2016",2
"July 6, 2015",2
"July 11, 2014",2
"November 11, 2016",2
"August 6, 2015",2
